folder,name,is_target,instance_id,resolved
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-13825,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-14571,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-databind-4615,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,googlecontainertools__jib-4035,True
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-13930,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-core-922,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-16681,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-16482,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-core-183,True
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-databind-3560,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,apache__dubbo-7041,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,alibaba__fastjson2-2097,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-core-566,True
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-14027,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-17021,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-core-729,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,apache__dubbo-10638,True
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,google__gson-1787,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,googlecontainertools__jib-2542,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-databind-4365,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,fasterxml__jackson-core-1182,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,elastic__logstash-16079,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,mockito__mockito-3133,False
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),False,alibaba__fastjson2-82,False
